CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
QEQ,LIBERTAD,53,COMALLO,RIO NEGRO,LUNES 09.00 A 14.00 / MIERCOLES 09.00 A 14.00 / VIERNES 09.00 A 14.00
IJC,LIBERTAD,100,INGENIERO JACOBACCI,RIO NEGRO,LUN A VIE 08.00 A 14.00
QEM,CHOIQUE,0,PILCANIYEU,RIO NEGRO,MAR Y JUE 09.00 A 14.00
QBF,ORELL TOMAS,168,ALLEN,RIO NEGRO,LUN A VIE 09.00 A 16.00
QAH,SEVERINI INGENIERO DECIO,201,BARDA DEL MEDIO,RIO NEGRO,LUN A VIE 08.00 A 13.00
CCT,PRIMEROS POBLADORES,240,CATRIEL,RIO NEGRO,LUN A VIE 09.00 A 16.00
QBD,SAN MARTIN,225,CERVANTES,RIO NEGRO,LUN A VIE 08.00 A 14.30
QCQ,SARMIENTO,141,CHIMPAY,RIO NEGRO,LUNES 08.00 A 13.00 / MIERCOLES 08.00 A 13.00 / VIERNES 08.00 A 13.00
QAF,BLUMETTI,22,CINCO SALTOS,RIO NEGRO,LUN A VIE 09.00 A 15.00
QBO,RIO NEGRO,50,CHICHINALES,RIO NEGRO,LUN A VIE 10.00 A 14.00
QCA,SAN MARTIN GENERAL JOSE DE,180,GENERAL FERNANDEZ ORO,RIO NEGRO,LUN A VIE 08.00 A 14.30
QCO,9 DE JULIO,400,GENERAL ENRIQUE GODOY,RIO NEGRO,LUN A VIE 08.00 A 14.30
QBL,COLON CRISTOBAL,970,INGENIERO HUERGO,RIO NEGRO,LUN A VIE 08.00 A 13.00
QCE,19,580,MAINQUE,RIO NEGRO,LUNES 08.00 A 13.00 / MIERCOLES 08.00 A 13.00 / VIERNES 08.00 A 13.00
QAM,PASTEUR DOCTOR LUIS,446,VILLA MANZANO,RIO NEGRO,LUN A VIE 08.00 A 13.00
QCM,SAN MARTIN GENERAL JOSE DE,1298,CHOELE CHOEL,RIO NEGRO,LUN A VIE 09.00 A 17.00
QCP,SAN MARTIN,100,LAMARQUE,RIO NEGRO,LUN A VIE 09.00 A 16.00
QCN,AVELLANEDA PRESIDENTE NICOLAS,100,LUIS BELTRAN,RIO NEGRO,LUN A VIE 09.00 A 16.00
LMU,BUENOS AIRES,687,LOS MENUCOS,RIO NEGRO,LUNES 09.00 A 12.00 / VIERNES 09.00 A 12.00 / MARTES 09.00 A 12.00 / JUEVES 09.00 A 12.00
RAE,YRIGOYEN PRESIDENTE HIPOLITO,377,GENERAL CONESA,RIO NEGRO,LUN A VIE 09.00 A 17.00
BFX,MORENO,495,RIO COLORADO,RIO NEGRO,LUN A VIE 09.00 A 15.00
SVG,ANTARTIDA ARGENTINA,189,SIERRA GRANDE,RIO NEGRO,LUN A VIE 08.00 A 14.30
VAL,PAGANO GOBERNADOR,622,VALCHETA,RIO NEGRO,LUN A VIE 10.00 A 16.30
RAR,COLECTORA,850,LAS GRUTAS,RIO NEGRO,LUN A VIE 09.00 A 16.00
GGV,SAENZ PEÑA ROQUE,125,CIPOLLETTI,RIO NEGRO,LUN A VIE 09.00 A 15.00
SNX,SAN MARTIN GENERAL JOSE DE,1863,SANTA FE,SANTA FE,LUN A VIE 08.00 A 14.30
SNT,RIVADAVIA PRESIDENTE BERNARDINO,2999,SANTA FE,SANTA FE,LUN A VIE 08.00 A 14.30
SNW,PAZ GENERAL JOSE MARIA,7276,SANTA FE,SANTA FE,LUN A VIE 08.00 A 14.30
SNU,PAZ GENERAL JOSE MARIA,5347,SANTA FE,SANTA FE,LUN A VIE 08.00 A 14.30
SN7,DEL VALLE PROFESOR ARISTOBULO,6855,SANTA FE,SANTA FE,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
SN8,LAMADRID GENERAL GREGORIO DE,7699,SANTA FE,SANTA FE,LUN A VIE 08.00 A 14.30
IRZ,SAN MARTIN,1405,ALEJANDRA,SANTA FE,LUN A VIE 08.00 A 14.30
SKD,DE LA TORRE DOCTOR LISANDRO,348,ANGELICA,SANTA FE,LUN A VIE 08.00 A 14.30
SJI,ROVERE DOCTOR,380,AROCENA,SANTA FE,LUN A VIE 08.00 A 14.30
SLR,SAN MARTIN GENERAL JOSE DE,151,ARRUFO,SANTA FE,LUN A VIE 08.00 A 14.30
SKH,MORENO,98,ATALIVA,SANTA FE,LUN A VIE 08.00 A 14.30
SJM,DE LA TORRE LISANDRO,131,BARRANCAS,SANTA FE,LUN A VIE 08.00 A 14.30
SJP,ROSARIO,227,BERNARDO DE IRIGOYEN,SANTA FE,LUN A VIE 08.00 A 14.30
SCP,ENTRE RIOS,1098,CENTENO,SANTA FE,LUN A VIE 08.00 A 14.30
IRY,BELGRANO GENERAL MANUEL,175,CALCHAQUI,SANTA FE,LUN A VIE 08.00 A 14.30
IQL,GARAY JUAN DE,0,CAYASTA,SANTA FE,LUN A VIE 08.00 A 14.30
SLO,ALEM LEANDRO NICEFORO,146,CERES,SANTA FE,LUN A VIE 08.00 A 14.30
SME,BONINI,100,PLAZA CLUCELLAS,SANTA FE,LUN A VIE 08.00 A 13.00
SJY,SARMIENTO DOMINGO FAUSTINO,968,COLONIA BELGRANO,SANTA FE,LUN A VIE 08.00 A 14.30
SJG,GARAY JUAN DE,1657,CORONDA,SANTA FE,LUN A VIE 08.00 A 14.30
SMX,SARMIENTO,799,CAÑADA ROSQUIN,SANTA FE,LUN A VIE 08.00 A 14.30
SMW,9 DE JULIO,175,CARLOS PELLEGRINI,SANTA FE,LUN A VIE 08.00 A 14.30
SDR,BUENOS AIRES,420,DIAZ,SANTA FE,LUN A VIE 08.00 A 14.30
IRG,CORRIENTES,399,ELISA,SANTA FE,LUN A VIE 08.00 A 14.30
SE0,AMERICA,1161,EL TREBOL,SANTA FE,LUN A VIE 08.00 A 14.30
ITE,SENN ENRIQUE,204,FELICIA,SANTA FE,LUN A VIE 08.00 A 14.30
HAP,SAN MARTIN,655,FLORENCIA,SANTA FE,LUN A VIE 08.00 A 14.30
IQP,ALBERDI JUAN BAUTISTA,1983,FRANCK,SANTA FE,LUN A VIE 08.00 A 14.30
SMI,90,100,FRONTERA,SANTA FE,LUN A VIE 08.00 A 14.30
SJU,MITRE,961,GESSLER,SANTA FE,LUN A VIE 08.00 A 13.00
IRS,SAN LORENZO COMBATE DE,134,GOBERNADOR CRESPO,SANTA FE,LUN A VIE 08.00 A 13.00
IQM,SAN MARTIN,555,HELVECIA,SANTA FE,LUN A VIE 08.00 A 13.00
SLW,MITRE BARTOLOME,327,HERSILIA,SANTA FE,LUN A VIE 08.00 A 13.00
SKJ,RIVADAVIA BERNARDINO,157,HUMBERTO PRIMO,SANTA FE,LUN A VIE 08.00 A 13.00
ISY,SAN MARTIN GENERAL JOSE DE,1636,HUMBOLDT,SANTA FE,LUN A VIE 08.00 A 13.00
SJR,BELGRANO GENERAL MANUEL,560,IRIGOYEN,SANTA FE,LUN A VIE 08.00 A 14.30
SEI,BELGRANO MANUEL,180,LANDETA,SANTA FE,LUN A VIE 08.00 A 14.30
ISA,9 DE JULIO,304,LA CRIOLLA,SANTA FE,LUN A VIE 08.00 A 14.30
ISF,BELGRANO GENERAL MANUEL,100,LA GALLARETA,SANTA FE,LUN A VIE 08.00 A 14.30
IQX,1 DE MAYO,1198,LAGUNA PAIVA,SANTA FE,LUN A VIE 08.00 A 14.30
IVA,10,834,LAS TOSCAS,SANTA FE,LUN A VIE 08.00 A 14.30
SKF,9 DE JULIO,1,LEHMANN,SANTA FE,LUN A VIE 08.00 A 14.30
IRL,URQUIZA GENERAL JUSTO JOSE DE,307,LLAMBI CAMPBELL,SANTA FE,LUN A VIE 08.00 A 14.30
SJW,CORRIENTES,1454,LOPEZ,SANTA FE,LUN A VIE 08.00 A 14.30
SMU,9,360,LAS PETACAS,SANTA FE,LUN A VIE 08.00 A 13.00
SEJ,LOPEZ ESTANISLAO,420,LOS CARDOS,SANTA FE,LUN A VIE 08.00 A 14.30
SDL,SAN JUAN,762,MACIEL,SANTA FE,LUN A VIE 08.00 A 14.30
IUM,SIGEL FEDERICO CARLOS,902,MALABRIGO,SANTA FE,LUN A VIE 08.00 A 14.30
IRQ,RIZZETTI ROMEO,508,MARCELINO ESCALADA,SANTA FE,LUN A VIE 08.00 A 14.30
ISE,BELGRANO MANUEL,0,MARGARITA,SANTA FE,LUN A VIE 08.00 A 14.30
SMP,SANTA FE,247,MARIA JUANA,SANTA FE,LUN A VIE 08.00 A 14.30
SKN,9 DE JULIO,162,MOISES VILLE,SANTA FE,LUN A VIE 08.00 A 14.30
SEG,COLON CRISTOBAL,897,MARIA SUSANA,SANTA FE,LUN A VIE 08.00 A 14.30
SDN,YRIGOYEN PRESIDENTE HIPOLITO,428,MONJE,SANTA FE,LUN A VIE 08.00 A 14.30
IRI,SARMIENTO,396,NELSON,SANTA FE,LUN A VIE 08.00 A 14.30
SEH,COLON,1007,PIAMONTE,SANTA FE,LUN A VIE 08.00 A 13.00
ITC,25 DE MAYO,1552,PILAR,SANTA FE,LUN A VIE 08.00 A 14.30
IRF,ESTRADA JOSE MANUEL,0,PROGRESO,SANTA FE,LUN A VIE 08.00 A 14.30
SKB,MORENO,28,RAMONA,SANTA FE,LUN A VIE 08.00 A 14.30
IQW,STORNI ALFONSINA,1155,RECREO,SANTA FE,LUN A VIE 08.00 A 14.30
ITW,RAMSEYER CRISTIAN,996,ROMANG,SANTA FE,LUN A VIE 08.00 A 14.30
IQQ,25 DE MAYO,163,SA PEREYRA,SANTA FE,LUN A VIE 08.00 A 13.00
IQS,BELGRANO GENERAL MANUEL,550,SAN CARLOS CENTRO,SANTA FE,LUN A VIE 08.00 A 14.30
ILO,GARAY JUAN DE,624,SAN CARLOS SUD,SANTA FE,LUN A VIE 08.00 A 14.30
ISO,PRINGLES CORONEL JUAN PASCUAL,915,SAN CRISTOBAL,SANTA FE,LUN A VIE 08.00 A 14.30
SLT,RIVADAVIA BERNARDINO,100,SAN GUILLERMO,SANTA FE,LUN A VIE 08.00 A 14.30
IQN,SAN MARTIN,1839,SAN JAVIER,SANTA FE,LUN A VIE 08.00 A 14.30
INK,SARMIENTO,577,SAN JERONIMO NORTE,SANTA FE,LUN A VIE 08.00 A 14.30
SMT,ALBERDI JUAN BAUTISTA,1298,SAN JORGE,SANTA FE,LUN A VIE 08.00 A 14.30
IND,GAMBOA GREGORIO,1401,SAN JOSE DEL RINCON,SANTA FE,LUN A VIE 08.00 A 14.30
IRO,CABAL GOBERNADOR,2340,SAN JUSTO,SANTA FE,LUN A VIE 08.00 A 14.30
SMS,RIBETTI MIGUEL,785,SAN MARTIN DE LAS ESCOBAS,SANTA FE,LUN A VIE 08.00 A 14.30
SMQ,CABRAL SARGENTO JUAN BAUTISTA,144,SAN VICENTE,SANTA FE,LUN A VIE 08.00 A 14.30
SJZ,RISSO PATRON CORONEL CONRADO,645,SANTA CLARA DE BUENA VISTA,SANTA FE,LUN A VIE 08.00 A 13.00
SMC,SANTA CLARA DE ASIS,88,SANTA CLARA DE SAGUIER,SANTA FE,LUN A VIE 08.00 A 13.00
INE,URUGUAY,100,SANTA ROSA DE CALCHINES,SANTA FE,LUN A VIE 08.00 A 14.30
IRA,MORENO DOCTOR MARIANO,1287,SARMIENTO,SANTA FE,LUN A VIE 08.00 A 13.00
SMK,ORTIZ EMILIO DE,1635,SASTRE,SANTA FE,LUN A VIE 08.00 A 14.30
SLV,25 DE MAYO,598,SUARDI,SANTA FE,LUN A VIE 08.00 A 14.30
SCQ,LAZARTE JUAN,1498,SAN GENARO,SANTA FE,LUN A VIE 08.00 A 14.30
SCO,19 DE SEPTIEMBRE,777,SAN GENARO,SANTA FE,LUN A VIE 08.00 A 14.30
SKY,BELGRANO DOCTOR MANUEL,512,TACURAL,SANTA FE,LUN A VIE 08.00 A 14.30
ISI,RIVADAVIA BERNARDINO,1118,TOSTADO,SANTA FE,LUN A VIE 08.00 A 14.30
ITR,25 DE MAYO,1905,VERA,SANTA FE,LUN A VIE 08.00 A 14.30
ISC,MANZANA K P URBANA,                              ,VERA Y PINTADO,SANTA FE,LUN A VIE 08.00 A 13.00
IRW,20 DE JUNIO,602,VIDELA,SANTA FE,LUN A VIE 08.00 A 14.30
SKT,1 DE MAYO,100,VILA,SANTA FE,LUN A VIE 08.00 A 13.00
IUX,25 DE MAYO,200,VILLA ANA,SANTA FE,LUN A VIE 08.00 A 13.00
IVD,MENCHACA GOBERNADOR MANUEL JOAQUIN,0,VILLA GUILLERMINA,SANTA FE,LUN A VIE 08.00 A 14.30
IUU,BELGRANO MANUEL,1290,VILLA OCAMPO,SANTA FE,LUN A VIE 08.00 A 14.30
SLS,IRIONDO SIMON DE,362,VILLA TRINIDAD,SANTA FE,LUN A VIE 08.00 A 14.30
ISJ,9 DE JULIO,795,VILLA MINETTI,SANTA FE,LUN A VIE 08.00 A 14.30
SMG,YRIGOYEN PRESIDENTE HIPOLITO,755,ZENON PEREYRA,SANTA FE,LUN A VIE 08.00 A 14.30
SAF,LAGOS OVIDIO,182,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAN,MENDOZA,4588,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SBC,ASURMENDI IGNACIO,447,ACEBAL,SANTA FE,LUN A VIE 08.00 A 15.00
SBK,25 DE MAYO,963,ALCORTA,SANTA FE,LUN A VIE 08.00 A 15.00
SBA,TUCUMAN,421,ALVAREZ,SANTA FE,LUN A VIE 08.00 A 15.00
SGA,QUINTANA,200,AMENABAR,SANTA FE,LUN A VIE 09.00 A 13.00
SEA,14 DE DICIEMBRE,1531,ARMSTRONG,SANTA FE,LUN A VIE 08.00 A 15.00
SBV,MAIORANO MANSUETO,530,ARROYO SECO,SANTA FE,LUN A VIE 08.00 A 15.00
SPD,SAN MARTIN GENERAL JOSE DE,47,ARTEAGA,SANTA FE,LUN A VIE 09.00 A 13.00
SFH,IRIONDO SIMON DE,660,BERABEVU,SANTA FE,LUN A VIE 07.30 A 13.00
SCZ,LIBERTAD,201,BIGAND,SANTA FE,LUN A VIE 09.00 A 13.00
SDA,VERA MUJICA ANTONIO,100,BOMBAL,SANTA FE,LUN A VIE 09.00 A 13.00
SEF,9 DE JULIO,90,BOUQUET,SANTA FE,LUN A VIE 09.00 A 13.00
SFE,SAN MARTIN GENERAL JOSE DE,558,CAÑADA DEL UCLE,SANTA FE,LUN A VIE 09.00 A 13.00
SFI,SAN MARTIN,679,CAFFERATA,SANTA FE,LUN A VIE 09.00 A 13.00
SCU,SAN LORENZO,855,CAPITAN BERMUDEZ,SANTA FE,LUN A VIE 08.00 A 15.00
SCF,1 DE MAYO,413,CARCARAÑA,SANTA FE,LUN A VIE 08.00 A 15.00
SEX,MITRE,473,CARMEN,SANTA FE,LUN A VIE 09.00 A 13.00
SFO,GARIBALDI,791,CARRERAS,SANTA FE,LUN A VIE 09.00 A 13.00
SFF,SAN MARTIN,735,CHAÑAR LADEADO,SANTA FE,LUN A VIE 08.00 A 15.00
SCX,ROSARIO,1743,CHABAS,SANTA FE,LUN A VIE 08.00 A 15.00
SFC,SAN MARTIN,570,CHOVET,SANTA FE,LUN A VIE 08.00 A 13.00
SAW,9 DE JULIO,253,CORONEL BOGADO,SANTA FE,LUN A VIE 08.00 A 15.00
SDY,25 DE MAYO,765,CORREA,SANTA FE,LUN A VIE 08.00 A 15.00
ICC,CHRISTOPHERSEN,100,DIEGO DE ALVEAR,SANTA FE,LUN A VIE 14.00 A 17.00
SFP,ITALIA,688,ELORTONDO,SANTA FE,LUN A VIE 08.00 A 15.00
SFQ,RIVADAVIA,195,EMPALME VILLA CONSTITUCION,SANTA FE,LUN A VIE 08.00 A 15.00
SBT,COLON,642,FIGHIERA,SANTA FE,LUN A VIE 09.00 A 13.00
SCV,SANTA FE,145,FRAY LUIS BELTRAN,SANTA FE,LUN A VIE 08.00 A 15.00
SBW,RECONQUISTA,645,FUENTES,SANTA FE,LUN A VIE 09.00 A 13.00
SFD,14,705,GODEKEN,SANTA FE,LUN A VIE 09.00 A 13.00
SFT,ITALIA,159,GODOY,SANTA FE,LUN A VIE 09.00 A 13.00
SFL,15 DE ABRIL,234,HUGHES,SANTA FE,LUN A VIE 09.00 A 13.00
SAX,MITRE,302,JUAN BERNABE MOLINA,SANTA FE,LUN A VIE 09.00 A 13.00
SFK,LEDESMA CLODOMIRO,254,JUNCAL,SANTA FE,LUN A VIE 09.00 A 13.00
SFM,INDEPENDENCIA,485,LABORDEBOY,SANTA FE,LUN A VIE 09.00 A 13.00
SDX,16,856,LAS PAREJAS,SANTA FE,LUN A VIE 08.00 A 15.00
SED,SAN MARTIN,459,LAS ROSAS,SANTA FE,LUN A VIE 08.00 A 15.00
SDB,LOPEZ BRIGADIER ESTANISLAO,626,LOS MOLINOS,SANTA FE,LUN A VIE 08.00 A 12.30
SFG,25 DE MAYO,554,LOS QUIRQUINCHOS,SANTA FE,LUN A VIE 09.00 A 13.00
SEY,BADIA PADRE,498,MAGGIOLO,SANTA FE,LUN A VIE 08.00 A 12.30
SES,BELGRANO MANUEL,136,MARIA TERESA,SANTA FE,LUN A VIE 09.00 A 13.00
SPC,25 DE MAYO,385,MELINCUE,SANTA FE,LUN A VIE 09.00 A 13.00
SEE,SAN MARTIN GENERAL JOSE DE,698,MONTES DE OCA,SANTA FE,LUN A VIE 09.00 A 13.00
SEL,SARMIENTO DOMINGO FAUSTINO,397,MURPHY,SANTA FE,LUN A VIE 09.00 A 13.00
SDK,BUENOS AIRES,217,OLIVEROS,SANTA FE,LUN A VIE 09.00 A 13.00
SBL,BUENOS AIRES,1178,PAVON ARRIBA,SANTA FE,LUN A VIE 08.00 A 13.00
SBI,25 DE MAYO,963,MAXIMO PAZ,SANTA FE,LUN A VIE 08.00 A 15.00
SBO,CHIAVARINI DOCTOR ALBERTO,1199,PEREZ,SANTA FE,LUN A VIE 08.00 A 15.00
SBG,CENTENARIO,821,PEYRANO,SANTA FE,LUN A VIE 14.00 A 17.00
SDH,CORDOBA,884,PUERTO GRAL SAN MARTIN,SANTA FE,LUN A VIE 08.00 A 15.00
SBQ,DE LA TORRE DOCTOR LISANDRO,345,PUJATO,SANTA FE,LUN A VIE 09.00 A 13.00
SCB,BELTRAN FRAY LUIS,161,ROLDAN,SANTA FE,LUN A VIE 08.00 A 15.00
SFW,RUEDA DOCTOR PEDRO,530,RUEDA,SANTA FE,LUN A VIE 09.00 A 13.00
SCJ,ARGENTINA,117,SALTO GRANDE,SANTA FE,LUN A VIE 09.00 A 13.00
SEV,SARMIENTO,344,SAN EDUARDO,SANTA FE,LUN A VIE 09.00 A 13.00
SCI,LAS HERAS,575,SANFORD,SANTA FE,LUN A VIE 08.00 A 13.00
SEU,ALVEAR JOSEFINA DE,99,SAN GREGORIO,SANTA FE,LUN A VIE 09.00 A 13.00
SCD,SAN MARTIN,416,SAN JERONIMO SUD,SANTA FE,LUN A VIE 09.00 A 13.00
SDD,PELLEGRINI,1081,SAN JOSE DE LA ESQUINA,SANTA FE,LUN A VIE 08.00 A 15.00
SEW,DE LA TORRE DOCTOR LISANDRO,394,SANCTI SPIRITU,SANTA FE,LUN A VIE 09.00 A 13.00
SEP,RIVADAVIA,1071,SANTA ISABEL,SANTA FE,LUN A VIE 09.00 A 13.00
SBE,PRIMERA JUNTA,468,SANTA TERESA,SANTA FE,LUN A VIE 09.00 A 13.00
SDP,SAN MARTIN,560,SERODINO,SANTA FE,LUN A VIE 09.00 A 13.00
IAJ,9 DE JULIO,344,TEODELINA,SANTA FE,LUN A VIE 08.00 A 15.00
SDI,GABOTO,573,TIMBUES,SANTA FE,LUN A VIE 09.00 A 13.00
SEC,SAN MARTIN,180,TORTUGAS,SANTA FE,LUN A VIE 09.00 A 13.00
SCL,MITRE,1096,TOTORAS,SANTA FE,LUN A VIE 08.00 A 15.00
SER,59,446,VILLA CAÑAS,SANTA FE,LUN A VIE 08.00 A 15.00
SDV,SARMIENTO PRESIDENTE DOMINGO FAUSTINO,401,VILLA ELOISA,SANTA FE,LUN A VIE 09.00 A 13.00
SCY,RIVADAVIA BERNARDINO,799,VILLA MUGUETA,SANTA FE,LUN A VIE 09.00 A 13.00
SFJ,MORENO DOCTOR MARIANO,680,WHEELWRIGHT,SANTA FE,LUN A VIE 09.00 A 13.00
SBX,25 DE MAYO,2124,ZAVALLA,SANTA FE,LUN A VIE 09.00 A 13.00
THA,MARMOL JOSE,1,AGUILARES,TUCUMAN,LUN A VIE 09.00 A 16.00
TIB,RIVADAVIA,930,ALDERETES,TUCUMAN,LUN A VIE 08.00 A 15.00
TGK,PADILLA ERNESTO,100,AMAICHA DEL VALLE,TUCUMAN,LUN A VIE 09.00 A 16.00
TFI,SAN MARTIN GENERAL JOSE DE,200,BANDA DEL RIO SALI,TUCUMAN,LUN A VIE 09.00 A 16.00
THQ,MARCONI,398,BELLA VISTA,TUCUMAN,LUN A VIE 08.00 A 13.00
TCC,AV. 25 DE MAYO S/N,                              ,ESTACION BURRUYACU,TUCUMAN,LUN A VIE 08.00 A 15.00
TGP,9 DE JULIO,1,COLALAO DEL VALLE,TUCUMAN,MIE Y VIE 08.00 A 13.00
TGF,BELGRANO MANUEL,380,FAMAILLA,TUCUMAN,LUN A VIE 09.00 A 16.00
THH,SAN MARTIN GENERAL JOSE DE,12,GRANEROS,TUCUMAN,LUN A VIE 08.00 A 13.00
THD,PELLEGRINI CARLOS,0,SANTA ANA,TUCUMAN,LUN A VIE 08.00 A 13.00
TGI,LIBERTADOR,170,SANTA LUCIA,TUCUMAN,LUN A VIE 08.00 A 13.00
THG,SAENZ PEÑA ROQUE,402,JUAN BAUTISTA ALBERDI,TUCUMAN,LUN A VIE 09.00 A 16.00
THK,RIVADAVIA,142,LA COCHA,TUCUMAN,LUN A VIE 08.00 A 13.00
THZ,25 DE MAYO,0,LAMADRID,TUCUMAN,LUN A VIE 08.00 A 13.00
TCG,24 DE SEPTIEMBRE,1,LA RAMADA,TUCUMAN,MAR Y JUE 08.00 A 13.00
TFM,1,                              ,LEALES,TUCUMAN,LUN A VIE 08.00 A 13.00
TIF,PETRILLI MADRE SABINA,0,LOS RALOS,TUCUMAN,LUN A VIE 08.00 A 13.00
TGB,QUILES DALMACIO,95,LULES,TUCUMAN,LUN A VIE 09.00 A 16.00
TFA,1,1550,LAS TALITAS,TUCUMAN,LUN A VIE 08.00 A 15.00
TGL,9 DE JULIO,51,EL MANANTIAL,TUCUMAN,LUN A VIE 08.00 A 15.00
THX,9 DE JULIO,1,MONTEAGUDO,TUCUMAN,LUN A VIE 08.00 A 13.00
TGQ,COLON,247,MONTEROS,TUCUMAN,LUN A VIE 09.00 A 16.00
TFQ,SALTA,101,LA FLORIDA,TUCUMAN,LUN A VIE 08.00 A 13.00
OLA,SAN MARTIN,240,SAN PABLO,TUCUMAN,LUN A VIE 08.00 A 13.00
THV,ALBERDI JUAN BAUTISTA,455,SIMOCA,TUCUMAN,LUN A VIE 09.00 A 16.00
OIA,BUENOS AIRES,99,TACO RALO,TUCUMAN,LUN A VIE 08.00 A 13.00
TDD,SAN MARTIN,1,TAFI DEL VALLE,TUCUMAN,LUN A VIE 08.00 A 13.00
TFC,MONTEAGUDO,15,TAFI VIEJO,TUCUMAN,LUN A VIE 08.00 A 15.00
TCR,25 DE MAYO Y BELGRANO,                              ,VILLA TRANCAS,TUCUMAN,LUN A VIE 08.00 A 13.00
TGZ,LAFUENTE ANTONIO,1,VILLA LA TRINIDAD,TUCUMAN,LUN A VIE 08.00 A 15.00
TGS,FLORIDA,101,VILLA QUINTEROS,TUCUMAN,LUN A VIE 08.00 A 13.00
TAQ,SAN MARTIN,64,RANCHILLOS,TUCUMAN,LUN A VIE 08.00 A 13.00
UEE,DON BOSCO,490,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 08.00 A 15.00
UAW,MAIZ ALEJANDRO,801,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 08.00 A 15.00
ARR,SARMIENTO,100,ALTO RIO SENGUER,CHUBUT,LUN A VIE 08.00 A 13.00
UDD,S/C,0,CORCOVADO,CHUBUT,LUN A VIE 08.00 A 13.00
UDZ,SAN MARTIN GENERAL JOSE DE,347,GOBERNADOR COSTA,CHUBUT,LUN A VIE 09.00 A 13.00
JSM,BELGRANO DOCTOR MANUEL,1,JOSE DE SAN MARTIN,CHUBUT,LUN A VIE 09.00 A 14.00
ROY,25 DE MAYO,790,RIO MAYO,CHUBUT,LUN A VIE 09.00 A 13.00
UEA,MORENO PERITO FRANCISCO P,240,RIO PICO,CHUBUT,MARTES 08.00 A 13.00 / MIE Y JUE 08.00 A 13.00
UDF,SAN MARTIN,99,TREVELIN,CHUBUT,LUN A VIE 08.00 A 14.30
UDT,SOBERANIA ARGENTINA,0,CHOLILA,CHUBUT,LUNES 08.00 A 14.00 / MIERCOLES 08.00 A 14.00 / VIERNES 08.00 A 14.00
UCQ,28 DE JULIO,102,DOLAVON,CHUBUT,LUN A VIE 08.00 A 13.00
EMX,SAN MARTIN GENERAL JOSE DE,801,EL MAITEN,CHUBUT,VIERNES 08.00 A 13.00 / LUN Y MIER 08.00 A 13.00
UDN,LOS CONDORES,0,EPUYEN,CHUBUT,MAR Y JUE 08.00 A 14.00
UCO,EVANS JUAN CARLOS,114,GAIMAN,CHUBUT,LUN A VIE 08.00 A 14.30
UBW,AMANCAY,0,LAGO PUELO,CHUBUT,LUN A VIE 09.00 A 17.00
UDO,SAN MARTIN GENERAL JOSE DE,891,TECKA,CHUBUT,LUNES 08.00 A 13.00 / VIERNES 08.00 A 13.00
RHZ,RUPATINI SANTIAGO,360,TOLHUIN,TIERRA DEL FUEGO,LUN A VIE 09.00 A 16.00
WCB,COSQUIN,1890,CORRIENTES,CORRIENTES,LUN A VIE 07.00 A 14.00
WEK,PAMPIN GOBERNADOR JUAN VlCENTE,0,CHAVARRIA,CORRIENTES,LUN A VIE 08.00 A 12.30
WCK,SAN MARTIN,555,CONCEPCION,CORRIENTES,LUN A VIE 07.00 A 13.30
WCF,MITRE BARTOLOME,1184,EMPEDRADO,CORRIENTES,LUN A VIE 07.00 A 13.30
WAD,MITRE BARTOLOME,810,ESQUINA,CORRIENTES,LUN A VIE 07.00 A 13.30
WBV,NIELLA GORDIOLA,115,NTRA SRA DEL ROS DE CAA CATI,CORRIENTES,LUN A VIE 07.00 A 13.30
WEQ,9 DE JULIO,100,ITA IBATE,CORRIENTES,LUN A VIE 08.00 A 12.30
WCC,CASTOR DE LEON,0,ITATI,CORRIENTES,LUN A VIE 07.00 A 13.30
OBW,VALLE BERNARDINO,1801,ITUZAINGO,CORRIENTES,LUN A VIE 07.00 A 13.30
WET,PARAGUAY,0,LORETO,CORRIENTES,LUN A VIE 07.00 A 13.30
WDH,URQUIZA,0,MANUEL FLORENCIO MANTILLA,CORRIENTES,LUN A VIE 07.00 A 13.30
WCO,BELGRANO MANUEL,984,MBURUCUYA,CORRIENTES,LUN A VIE 07.00 A 13.30
WBX,25 DE MAYO,642,PASO DE LA PATRIA,CORRIENTES,LUN A VIE 07.00 A 13.30
WDW,COLON,0,PERUGORRIA,CORRIENTES,LUN A VIE 07.00 A 13.30
WCH,MITRE BARTOLOME,605,SALADAS,CORRIENTES,LUN A VIE 07.00 A 13.30
WCA,SAN MARTIN GENERAL JOSE DE,0,SAN COSME,CORRIENTES,LUN A VIE 07.00 A 13.30
WCD,SARMIENTO,0,SAN LORENZO,CORRIENTES,LUN A VIE 08.00 A 12.30
WBS,TUCUMAN,687,SAN LUIS DEL PALMAR,CORRIENTES,LUN A VIE 07.00 A 13.30
WEV,SARMIENTO,895,SAN MIGUEL,CORRIENTES,LUN A VIE 07.00 A 13.30
