CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
THI,PERON PRESIDENTE JUAN DOMINGO,2408,VILLA DE MAYO,BUENOS AIRES,LUN A VIE 09.00 A 17.00
THJ,RIOBAMBA,506,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 18.00 / SAB 10.00 A 15.00
THL,GARAY JUAN DE,813,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A SAB 00.05 A 23.59
THM,GASCON,467,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00
THP,FRENCH,3166,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.00
TKG,SUAREZ MORE DOCTOR RUBEN,323,PUERTO SANTA CRUZ,SANTA CRUZ,LUN A DOM 10.00 A 00.00
TKJ,MANGANO MARIANO,0,DARWIN,RIO NEGRO,LUN A VIE 08.00 A 13.00
TKK,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,173,CIPOLLETTI,RIO NEGRO,SAB 08.00 A 02.00 / DOM 14.00 A 22.00 / VIERNES 08.00 A 24.00 / LUN A JUEV 08.00 A 22.00
TKN,SAN PATRICIO,5948,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A SAB 09.00 A 16.45
TKL,BELGRANO DOCTOR MANUEL,552,CERVANTES,RIO NEGRO,LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 21.00
TKM,BELGRANO GENERAL MANUEL,1991,NEUQUEN,NEUQUEN,LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 21.00
TKO,MADARIAGA GENERAL JOSE,1202,LUIS GUILLON,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
TKP,SARDI ALFEREZ ALBERTO,1875,LUIS GUILLON,BUENOS AIRES,LUN A SAB 08.30 A 13.30
TKQ,LA PLATA,3623,SANTOS LUGARES,BUENOS AIRES,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
TKR,YRIGOYEN PRESIDENTE HIPOLITO,333,JOSE C PAZ,BUENOS AIRES,LUN A VIE 09.30 A 17.30 / SAB 09.30 A 13.00
TKS,SANTA MARIA DE ORO FRAY JUSTO,1445,DON TORCUATO,BUENOS AIRES,LUN A SAB 08.00 A 21.00
TKT,SALTA,1769,SAN JOSE,BUENOS AIRES,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
TKU,ARIETA DOCTOR IGNACIO,2652,SAN JUSTO,BUENOS AIRES,LUN A VIE 09.00 A 18.00
